chromosome	block	num_variants	L	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95	num_variants_0.95.EUR	num_variants_0.5.EUR	num_CS95.EUR	num_variants_CS95.EUR	num_variants_0.95.EAS	num_variants_0.5.EAS	num_CS95.EAS	num_variants_CS95.EAS
4	77	4932	5	994.951110124588	0	0	0	0	0	0	0	0	0	0	0	0
4	91	1484	5	30.4903395175934	0	0	2	67	0	0	2	67	0	0	2	67
4	94	1403	5	21.5326812267303	0	0	0	0	0	0	0	0	0	0	0	0
4	97	1431	5	26.1196558475494	0	1	0	0	0	1	0	0	0	0	0	0
4	101	2412	5	121.377447128296	0	0	0	0	0	0	0	0	0	0	0	0
4	105	1919	5	59.3707196712494	0	1	1	12	0	1	1	12	0	1	1	12
4	114	2427	5	129.238236665726	0	0	0	0	0	0	0	0	0	0	0	0
4	115	1253	5	11.3788223266602	0	0	0	0	0	0	0	0	0	0	0	0
4	116	2050	5	75.2566492557526	0	0	1	264	0	0	1	264	0	0	1	264
4	117	1847	5	49.018363237381	0	1	1	7	0	1	1	7	0	0	0	0
4	125	731	5	2.57151985168457	0	0	0	0	0	0	0	0	0	0	0	0
4	129	2842	5	204.477391958237	0	0	2	196	0	0	2	196	0	0	1	124
4	146	1269	5	15.9628903865814	0	0	1	16	0	0	0	0	0	0	0	0
4	150	2685	5	133.735925912857	0	0	0	0	0	0	0	0	0	0	0	0
4	155	2256	5	47.4418787956238	0	0	0	0	0	0	0	0	0	0	0	0
4	160	980	5	5.721755027771	0	0	1	68	0	0	1	68	0	0	0	0
4	162	1821	5	25.8174030780792	0	0	0	0	0	0	0	0	0	0	0	0
4	173	2233	5	101.804162740707	0	0	1	37	0	0	1	37	0	0	0	0
4	175	1546	5	33.1154081821442	0	0	1	31	0	0	0	0	0	0	0	0
4	178	1008	5	3.65197801589966	0	0	1	51	0	0	1	51	0	0	1	51
4	183	3379	5	297.786850690842	0	0	2	24	0	0	2	24	0	0	2	24
4	187	2327	5	113.834142684937	0	0	0	0	0	0	0	0	0	0	0	0
4	199	414	5	0.718777656555176	0	0	1	15	0	0	1	15	0	0	0	0
5	17	1146	5	10.4790303707123	0	1	1	6	0	1	1	6	0	1	1	6
5	39	1795	5	45.5465474128723	0	0	1	75	0	0	1	75	0	0	0	0
5	57	2189	5	92.2048070430756	0	0	1	6	0	0	1	6	0	0	0	0
5	61	4083	5	579.778819561005	0	0	0	0	0	0	0	0	0	0	0	0
5	63	5780	5	1175.69385552406	0	0	1	5	0	0	1	5	0	0	1	5
5	71	3740	5	444.790035009384	0	0	0	0	0	0	0	0	0	0	0	0
5	72	2952	5	220.643260240555	0	1	1	15	0	1	1	15	0	1	0	0
5	74	4268	5	479.342797279358	0	0	1	177	0	0	1	177	0	0	1	177
5	82	1147	5	10.9659914970398	0	0	0	0	0	0	0	0	0	0	0	0
5	85	2567	5	153.754102706909	0	0	1	103	0	0	0	0	0	0	0	0
5	102	2226	5	65.3646991252899	0	0	3	81	0	0	3	81	0	0	1	16
5	103	1693	5	45.4774777889252	0	0	1	10	0	0	1	10	0	0	0	0
5	104	1850	5	57.2145068645477	0	0	1	26	0	0	1	26	0	0	1	26
5	105	738	5	2.42878437042236	0	0	1	59	0	0	1	59	0	0	0	0
5	112	5529	5	1266.45012068748	0	0	1	205	0	0	1	205	0	0	0	0
5	114	5415	5	1183.00186014175	0	0	0	0	0	0	0	0	0	0	0	0
5	115	562	5	1.61014795303345	0	1	0	0	0	1	0	0	0	0	0	0
5	117	1550	5	15.8769884109497	0	0	1	82	0	0	1	82	0	0	1	82
5	119	1879	5	37.3620800971985	0	0	0	0	0	0	0	0	0	0	0	0
5	127	3110	5	265.939396858215	0	0	0	0	0	0	0	0	0	0	0	0
5	133	1233	5	8.51003432273865	0	0	0	0	0	0	0	0	0	0	0	0
5	135	1426	5	16.3281707763672	0	0	1	156	0	0	1	156	0	0	0	0
5	144	2473	5	139.606208324432	0	0	0	0	0	0	0	0	0	0	0	0
5	145	2703	5	174.48964548111	0	0	2	47	0	0	2	47	0	0	1	31
5	146	2618	5	154.614261627197	0	0	2	205	0	0	2	205	0	0	0	0
5	152	3496	5	366.43235206604	0	0	0	0	0	0	0	0	0	0	0	0
5	162	3702	5	434.48766541481	0	0	2	241	0	0	2	241	0	0	0	0
5	163	1621	5	38.9236135482788	0	0	2	156	0	0	2	156	0	0	0	0
5	166	1712	5	36.297057390213	0	0	0	0	0	0	0	0	0	0	0	0
5	168	1991	5	68.2044324874878	0	0	1	27	0	0	1	27	0	0	0	0
5	171	3632	5	361.809930801392	0	0	0	0	0	0	0	0	0	0	0	0
