pid	chromosome	block	num_variants	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
european	1	243	1398	1.39128565788269	0	0	1	47
european	1	252	1169	0.378866195678711	0	0	0	0
european	1	262	2331	3.71603584289551	0	0	0	0
european	1	263	1909	2.30239176750183	0	2	1	2
european	1	274	2774	4.95163345336914	1	1	1	1
european	2	4	1232	0.77499794960022	0	0	1	19
european	2	33	2697	2.02428126335144	0	0	1	7
european	2	38	2655	4.22732520103455	0	0	0	0
european	2	45	2149	3.76324939727783	0	0	1	77
european	2	48	1728	1.08814835548401	1	1	1	1
european	2	49	2595	8.3463397026062	0	0	0	0
european	2	63	1902	1.33137226104736	0	0	1	22
european	2	66	3747	8.21107244491577	0	0	0	0
european	2	79	2926	6.98154926300049	0	0	0	0
european	2	81	4029	12.8067712783813	0	0	0	0
european	2	84	6510	31.2904903888702	0	0	0	0
european	2	85	6245	29.9463934898376	0	1	3	88
european	2	87	813	0.29683780670166	0	2	1	5
european	2	88	7090	37.9652950763702	0	0	1	6
european	2	100	1825	2.40907168388367	0	1	1	10
european	2	101	1640	1.42648935317993	0	0	1	151
european	2	105	3506	4.33811831474304	0	0	1	75
european	2	107	4123	4.04887437820435	0	0	1	18
european	2	108	2934	5.56438660621643	0	0	1	5
european	2	112	4446	8.40681576728821	0	0	0	0
european	2	116	2700	5.64822745323181	0	0	1	36
european	2	145	1438	2.47722959518433	0	0	0	0
european	2	146	2304	3.38688111305237	0	0	1	14
european	2	147	5700	16.3419644832611	0	0	0	0
european	2	152	1814	1.93358278274536	0	1	1	2
european	2	153	2965	6.06000375747681	0	0	1	18
european	2	154	1169	1.90819978713989	0	0	0	0
european	2	161	4164	6.16493916511536	0	0	2	129
european	2	166	5821	11.5080595016479	0	0	1	22
european	2	171	2951	7.75927066802979	0	0	1	23
european	2	176	3308	7.84628224372864	0	0	1	10
european	2	180	2125	5.76521229743958	0	0	0	0
european	2	186	3980	22.7630040645599	0	0	0	0
european	2	190	8365	84.0623087882996	0	0	1	6
european	2	195	5639	26.4298231601715	0	0	0	0
european	2	196	3818	9.05935454368591	0	0	1	57
european	2	197	2828	5.05482220649719	0	0	2	155
european	2	204	2169	3.23188161849976	0	0	0	0
european	2	205	1572	1.26768445968628	0	0	0	0
european	2	210	1527	0.547212600708008	0	0	0	0
european	2	211	3153	5.87843132019043	0	0	0	0
european	2	213	5271	14.2110123634338	0	0	1	44
european	2	228	1968	2.70672273635864	0	0	1	34
european	2	232	1857	0.749108552932739	0	0	0	0
european	2	234	2482	2.93876361846924	0	0	1	133
european	2	241	1434	1.85088109970093	0	0	1	47
european	2	247	735	0.136529922485352	0	0	1	40
european	3	1	8973	44.1024491786957	0	0	1	10
european	3	22	1099	0.531716108322144	0	0	0	0
european	3	32	3156	6.93974280357361	0	0	1	9
european	3	35	3484	9.03865242004395	0	0	0	0
european	3	37	826	0.194758176803589	0	0	0	0
european	3	38	2110	1.01180338859558	0	0	0	0
european	3	39	3995	12.6852915287018	0	0	0	0
european	3	40	1519	1.32995510101318	0	0	0	0
european	3	41	3447	9.71846485137939	0	1	0	0
european	3	42	2699	2.02580451965332	0	0	0	0
european	3	45	1412	1.10653901100159	0	0	0	0
european	3	48	2590	3.64203977584839	0	0	1	47
european	3	49	3631	5.74469923973083	0	0	0	0
european	3	53	4415	15.0645117759705	0	0	0	0
european	3	55	1472	0.609000682830811	0	0	1	17
european	3	56	1831	2.31360054016113	0	0	1	29
european	3	60	4215	10.8566880226135	0	0	0	0
european	3	61	1828	0.824637889862061	0	0	1	16
european	3	63	7300	81.4683327674866	0	2	3	74
european	3	74	2248	4.50954818725586	0	0	1	7
european	3	81	1583	1.00468277931213	0	0	1	18
european	3	88	2594	4.40648412704468	0	0	0	0
european	3	89	1988	2.43664646148682	0	0	1	37
european	3	96	2100	1.18037939071655	0	0	0	0
european	3	99	6234	18.1807081699371	0	0	1	332
european	3	101	10719	83.4995715618134	0	0	0	0
european	3	108	2438	3.04535460472107	0	0	0	0
european	3	109	6041	21.1619019508362	0	0	0	0
european	3	119	4445	11.5092055797577	0	0	1	100
european	3	120	2837	4.80279088020325	0	0	1	59
european	3	131	1103	0.336548566818237	0	0	1	171
european	3	140	3450	9.76795506477356	0	0	0	0
european	3	165	3137	4.83024764060974	0	0	1	64
european	3	166	9826	42.1732437610626	0	0	0	0
european	3	182	1072	0.301351070404053	0	0	0	0
european	3	185	1393	0.446086883544922	0	0	1	26
european	3	187	2998	4.43100237846375	0	0	1	149
european	3	193	2899	7.9470009803772	0	0	0	0
european	3	195	5531	19.1742930412292	0	1	1	2
european	3	204	3241	7.19831585884094	0	0	0	0
european	3	216	1607	1.67148375511169	0	0	0	0
european	4	1	7624	32.9204657077789	0	1	0	0
european	4	4	2079	1.06475830078125	0	0	1	34
european	4	33	4254	27.3109216690063	0	0	1	138
european	4	36	1985	1.02547788619995	0	0	1	20
european	4	37	1364	1.3622715473175	0	0	0	0
european	4	43	1100	0.621926784515381	0	1	1	9
european	4	46	2988	2.21253275871277	0	0	0	0
