chromosome	block	num_variants	max_PSRF	max_beta	max_betamean	mcmc_n	time	h2_beta_mean.EUR	h2_beta_sd.EUR	num_variants_0.95.EUR	num_variants_0.5.EUR	num_CS95.EUR	num_variants_CS95.EUR	h2_beta_mean.EAS	h2_beta_sd.EAS	num_variants_0.95.EAS	num_variants_0.5.EAS	num_CS95.EAS	num_variants_CS95.EAS
1	226	941	1.0159371344513337	0.023671279256473853	0.002492374183969286	5500	67.6773421764374	1.6849016180087295e-4	8.064473312982803e-5	0	0	0	0	1.49082220970868e-4	1.1215374109200353e-4	0	0	0	0
1	232	3867	1.0405783487377582	0.03351762977983477	0.0017280116960792763	5500	965.645402669907	3.010306090762976e-4	9.520874730920062e-5	0	0	0	0	3.265875726384637e-4	1.6748703405858467e-4	0	0	0	0
1	239	1337	1.0268347245958918	0.029774622361779163	0.0012397894136809335	5500	136.107569694519	2.915065918339876e-4	1.03547622508003e-4	0	0	0	0	3.172654522404912e-4	1.803947433737405e-4	0	0	0	0
1	240	6584	1.0302471335783583	0.038834869146052005	0.0039300177133899175	5500	3098.1351647377	5.383442212222243e-4	1.2740385746377354e-4	0	0	1	5	7.565170240936945e-4	2.629720382962936e-4	0	0	0	0
1	243	1581	1.02064641986465	0.037592786362880284	0.0010821688008028373	5500	174.017325878143	3.856069484011123e-4	1.0993193015621006e-4	0	0	1	50	3.9686650225086953e-4	2.2358162002316395e-4	0	0	0	0
1	252	1222	1.0368225356445555	0.02687932133467187	0.0015325837976709776	5500	120.680409669876	1.942735202904506e-4	8.256413452050104e-5	0	0	0	0	9.217652219280151e-5	6.86488772445189e-5	0	0	0	0
1	262	2544	1.023804382419371	0.03533506728803838	9.749413923195199e-4	5500	456.909176826477	3.66939294655315e-4	1.1430658764758519e-4	0	0	0	0	4.2944307569482546e-4	2.1702817515522927e-4	0	0	0	0
1	263	2368	1.0264887316702547	0.03195454718434047	0.0034718006934184916	5500	321.637338876724	5.21035132409058e-4	1.3126687213094423e-4	0	0	0	0	2.996209987606394e-4	1.5384064788423883e-4	0	0	0	0
1	274	2996	1.0184086039678095	0.04871487940889758	0.0026391228151709627	5500	632.763826131821	8.218338942893874e-4	1.7376321378637663e-4	0	0	1	150	9.50773786187399e-4	3.4856857725355355e-4	0	0	0	0
2	4	1336	1.0135139882490705	0.02807719582764844	0.0014318707620476908	5500	124.91296005249	3.4238787782827474e-4	1.0743270885741374e-4	0	0	1	31	2.0479219625678407e-4	1.3611721735514362e-4	0	0	0	0
2	33	3135	1.0338446584161187	0.03469980736725125	0.0018461742868996172	5500	680.650669813156	3.203211064428925e-4	9.51813505054501e-5	0	0	1	9	4.211624074224504e-4	1.923873354886537e-4	0	0	0	0
2	38	3118	1.0755026481100103	0.035879406630698905	0.0015391541178281867	5500	574.035463809967	4.4946287826992974e-4	1.2838049967423505e-4	0	0	0	0	4.0269898527093987e-4	1.9695111831382614e-4	0	0	0	0
2	45	2817	1.0183569189528574	0.03678859316701075	4.374051660534557e-4	5500	489.866672992706	5.157223112927159e-4	1.2720017886983653e-4	0	0	1	101	5.109892981533839e-4	2.2159687013814688e-4	0	0	0	0
2	48	1897	1.0088026258568494	0.03458313359590844	0.011682094545875496	5500	276.184200525284	3.221623841226908e-4	1.0771155592699862e-4	1	1	1	1	3.4234704067371505e-4	1.946334289426552e-4	0	0	0	0
2	49	2634	1.0217639771659868	0.04720085855466421	4.030619862456583e-4	5500	500.256305456161	4.740863914997112e-4	1.2013098393397788e-4	0	0	2	411	4.555203484244915e-4	2.214641460948394e-4	0	0	1	169
2	63	2061	1.0180368461145186	0.06646065396277617	6.439012089096631e-4	5500	272.245962619781	4.796398839116048e-4	1.1921843158126619e-4	0	0	0	0	9.46680026574547e-4	3.5456177101006236e-4	0	0	1	120
2	66	4335	1.0283796831135776	0.03882853566919976	0.001003959371210212	5500	1309.37111496925	6.020725224180089e-4	1.4380885335262217e-4	0	0	1	200	6.476829688110893e-4	2.442310830273524e-4	0	0	0	0
2	79	3042	1.0169719969221873	0.03045524877952602	4.4183641911737896e-4	5500	545.653554201126	3.7370204430082967e-4	1.0235270330457828e-4	0	0	0	0	3.231931855138708e-4	1.7938994503158742e-4	0	0	0	0
2	81	4879	1.0599355853625503	0.045864911814554515	8.566732370659967e-4	5500	1703.78951334953	4.1123665104544584e-4	1.0992537758638156e-4	0	0	0	0	0.0011747732980661345	3.6071041264044165e-4	0	0	0	0
2	84	6984	1.0213701617537856	0.04026723885180617	9.084754200989806e-4	5500	3965.32645201683	9.738397141554156e-4	1.7502604169436885e-4	0	0	0	0	7.837612058949393e-4	2.824908102917074e-4	0	0	0	0
2	85	7007	1.0715107208573802	0.05718260043423369	0.004120527993746441	5500	4145.59985995293	0.0013341460326262683	2.031497389735053e-4	0	0	2	138	0.002065762665391278	5.001390742529255e-4	0	0	1	99
2	87	986	1.0210493795541709	0.04625440116716865	0.005536356140282926	5500	71.9312951564789	5.701434980105943e-4	1.4531549885656933e-4	0	0	2	105	6.442141059087186e-4	2.856257650122887e-4	0	0	1	51
2	88	7654	1.0552513383260294	0.038104633081903205	0.0019420183011942327	5500	4530.94373846054	8.951650690124487e-4	1.720592239357679e-4	0	0	1	9	0.001227926510267942	3.7670584205308044e-4	0	0	0	0
2	100	1861	1.0218443552639065	0.036039635214756754	0.003253617161091487	5500	239.514267921448	3.4290897854851127e-4	1.0904659386985894e-4	0	0	1	10	3.746145885520265e-4	2.1799472074948546e-4	0	0	0	0
2	101	1690	1.010889018170018	0.027929079251020592	2.9548247792223137e-4	5500	243.284250020981	3.557911105130837e-4	1.015248036460363e-4	0	0	1	199	1.3127287185022522e-4	9.240275976641423e-5	0	0	0	0
