pid	chromosome	block	num_variants	max_PSRF	mcmc_n	time	lambda	h2_est	h2_mean	h2_sd	h2_beta_mean	h2_beta_sd	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
EAS	1	70	1671	1.0024018411617597	5500	209.182642936707	0.0024722460454295807	8.542158221331404e-5	8.771392600120977e-5	3.0177718649572074e-5	8.345966230006324e-5	5.9219381987756046e-5	0	0	0	0
EAS	1	72	1426	1.0025018820159368	5500	172.542973041534	0.0022350766655425984	8.151691674753074e-5	8.191153963324013e-5	2.9992073133352025e-5	7.437750534865115e-5	5.728524503318946e-5	0	0	0	0
EAS	1	74	2203	1.005504325398803	5500	387.594647169113	0.0037815824109065487	5.916271112283104e-4	0.00060733640723814185	1.7319869580157768e-4	6.401758786361479e-4	2.763224579139243e-4	0	0	0	0
EAS	1	92	1861	1.002536533513575	5500	264.614742279053	0.0022739952638204477	7.157830340971087e-5	7.097280300458042e-5	2.3104199222160667e-5	6.355907560276728e-5	4.482972458814479e-5	0	0	0	0
EAS	1	100	2396	1.002777908068762	5500	552.048948764801	0.6188062795081903	2.2523557348831536e-4	2.3491949180593272e-4	6.558894112530599e-5	2.610432016576723e-4	1.4477755687262992e-4	0	0	0	0
EAS	1	105	5088	1.0033583133014907	5500	4252.46601557732	0.29118537211214424	7.825118224949461e-4	8.003781675815342e-4	1.509711978056051e-4	7.99433398374267e-4	2.839280807513315e-4	0	0	0	0
EAS	1	115	1911	1.0029705228645918	5500	372.889263391495	0.5032845315626908	1.8966256958117674e-4	1.993183988543376e-4	6.091185988825883e-5	2.0367198652423605e-4	1.2525503362220816e-4	0	0	0	0
EAS	1	117	1292	1.0026545428827423	5500	128.780037641525	0.15779227863078882	5.020882738044852e-5	4.926143590966887e-5	1.9426475738624557e-5	4.255294436446745e-5	3.4877273260229547e-5	0	0	0	0
EAS	1	125	3555	1.0020465825992186	5500	1334.37807226181	0.22861344314847387	8.755451647205633e-5	8.770726096498349e-5	2.051900400825324e-5	8.492994433639127e-5	5.020520555798333e-5	0	0	0	0
EAS	1	127	1723	1.0020906942010113	5500	222.72310757637	0.08687599016883807	1.1883683737259107e-4	1.2001624261164732e-4	3.923254969338892e-5	1.203886473324643e-4	8.625036046940682e-5	0	0	0	0
EAS	1	128	3033	1.0030529952310476	5500	1005.50546908379	1.005631520904605	4.2011715679995607e-4	4.306803214631322e-4	1.0388065366825046e-4	4.6599614698395494e-4	2.2554703774064707e-4	0	0	0	0
EAS	1	129	838	1.0024293622537521	5500	97.729877948761	0.0017653970327183733	3.484779676164084e-5	3.405269384737719e-5	1.6843331194316646e-5	2.8105098356457266e-5	2.8178997715916774e-5	0	0	0	0
EAS	1	141	1174	1.0027698290305689	5500	118.633076429367	1.097392563634291	4.444890969172535e-4	4.6772231317773706e-4	1.763874788119936e-4	4.523823398980674e-4	2.4095198696990987e-4	0	0	0	0
EAS	1	147	1590	1.0027548540022144	5500	213.57657122612	0.41804680843219866	6.550026507923059e-5	6.542816327019748e-5	2.354036408273037e-5	5.8297408545803186e-05	4.4119425820745786e-5	0	0	0	0
EAS	1	154	3001	1.0044975597692773	5500	879.313253164291	0.0019486181011913494	3.614249430793827e-4	3.647014456126884e-4	8.924608051132132e-5	3.8954371592252857e-4	1.8453117875587445e-4	0	0	1	206
EAS	1	156	1629	1.0037102919611742	5500	325.325847864151	0.7384385771431876	7.348290752524094e-4	7.658319869869687e-4	2.498476749704328e-4	7.541177490131872e-4	3.096061415756486e-4	0	0	0	0
EAS	1	158	1230	1.0024644351328382	5500	186.084641695023	0.47010601361571047	1.2018261021409052e-4	1.2584914309786936e-4	4.9542570350586605e-5	1.3051294623628686e-4	1.0911766445077198e-4	0	0	0	0
EAS	1	166	845	1.0020110774640896	5500	54.3982872962952	0.002004356782050145	6.310791010003122e-5	6.298063590494278e-5	2.9821132653386913e-5	5.348306400383243e-5	4.910202939580122e-5	0	0	0	0
EAS	1	170	2067	1.0023973020787875	5500	425.029066562653	0.038195383216569345	2.925416607574173e-5	2.902107404131147e-5	8.958055396907374e-6	2.704052921023434e-5	2.0289024371576922e-5	0	0	0	0
EAS	1	175	3040	1.0024159072256589	5500	1016.31118226051	0.0026437545783571884	5.6144279528775625e-5	5.5435294487530865e-5	1.4148476687494635e-5	5.100684937740637e-5	3.0500327327944724e-5	0	0	0	0
EAS	1	183	3491	1.0023080998041887	5500	2349.28909087181	0.5120601073200037	4.5125867159909037e-4	4.5527491575422834e-4	1.0581809000195055e-4	4.637579095441336e-4	2.058498550228985e-4	0	0	0	0
EAS	1	185	958	1.0025208587673708	5500	169.296510457993	0.001099584573748223	5.5689669140659076e-5	5.6269622329002634e-5	2.5016424924242005e-5	5.066790820871925e-5	4.8521309357138686e-5	0	0	0	0
EAS	1	186	1833	1.0019885223557476	5500	337.279316425323	0.0020213540417259863	5.463308255630545e-5	5.4880030448905106e-5	1.7809105786283855e-5	4.916459944249497e-5	3.485777218211321e-5	0	0	0	0
EAS	1	187	2083	1.0026160476749988	5500	482.793473958969	0.0020269737975519677	5.4858086965287594e-5	5.4340356180945345e-5	1.665240099368398e-5	4.6653778077837595e-5	3.165062648948622e-5	0	0	0	0
