pid	chromosome	block	num_variants	L	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
EAS	7	119	1426	5	2.82318711280823	0	0	1	15
EAS	7	122	2481	5	5.47560119628906	0	0	0	0
EAS	7	124	2266	5	13.1165246963501	0	0	1	234
EAS	7	131	5831	5	46.0990107059479	0	0	0	0
EAS	7	132	6137	5	47.4830050468445	0	0	0	0
EAS	7	135	616	5	3.69343757629395	0	0	0	0
EAS	7	138	3802	5	12.998594045639	0	0	0	0
EAS	7	141	2560	5	14.287722826004	0	0	0	0
EAS	7	145	1436	5	3.37526154518127	0	0	0	0
EAS	7	148	1127	5	2.83054757118225	0	0	0	0
EAS	7	170	524	5	1.97309494018555	0	0	0	0
EAS	7	185	1244	5	3.82898235321045	0	0	0	0
EAS	8	2	2726	5	6.9430079460144	0	0	0	0
EAS	8	4	741	5	2.54173684120178	0	0	0	0
EAS	8	7	983	5	3.05239319801331	0	0	0	0
EAS	8	11	3181	5	12.1628637313843	0	0	0	0
EAS	8	19	861	5	2.80309915542603	0	0	1	49
EAS	8	24	4093	5	31.104896068573	0	0	0	0
EAS	8	27	1387	5	4.68745613098145	0	0	0	0
EAS	8	29	4117	5	33.3423688411713	0	0	0	0
EAS	8	40	2107	5	4.53147029876709	0	0	0	0
EAS	8	42	2738	5	6.80760955810547	0	0	1	17
EAS	8	43	3037	5	18.3729104995728	0	0	0	0
EAS	8	49	1714	5	5.29181265830994	0	0	0	0
EAS	8	51	3769	5	26.8322198390961	0	0	0	0
EAS	8	55	1175	5	6.87177205085754	0	0	0	0
EAS	8	57	1763	5	3.82646489143372	0	0	0	0
EAS	8	65	1454	5	5.11323070526123	0	0	0	0
EAS	8	67	2714	5	13.399078130722	0	0	0	0
EAS	8	69	4360	5	18.8032827377319	0	0	0	0
EAS	8	71	2568	5	17.5079963207245	0	0	1	68
EAS	8	74	1499	5	3.08829760551453	0	0	0	0
EAS	8	92	3007	5	8.01933550834656	0	0	0	0
EAS	8	106	2144	5	4.74932980537415	0	0	0	0
EAS	8	107	819	5	2.15276026725769	0	0	0	0
EAS	8	108	4380	5	23.05446434021	0	0	0	0
EAS	8	110	4364	5	33.5214450359344	0	0	0	0
EAS	8	111	5491	5	47.4023141860962	0	0	0	0
EAS	8	113	1611	5	6.73047876358032	0	0	0	0
EAS	8	135	1823	5	3.15615057945251	0	0	0	0
EAS	8	158	2765	5	6.00004434585571	0	0	0	0
EAS	8	159	1175	5	3.7447817325592	0	0	0	0
EAS	9	14	1341	5	2.62715268135071	0	0	0	0
EAS	9	27	3865	5	14.6763989925385	0	0	0	0
EAS	9	28	1281	5	3.45028710365295	0	0	0	0
EAS	9	38	2518	5	8.01680111885071	0	0	0	0
EAS	9	39	990	5	2.25566387176514	0	1	0	0
EAS	9	40	2750	5	10.041618347168	0	0	0	0
EAS	9	41	222	5	2.29714107513428	0	0	0	0
EAS	9	42	1506	5	7.38297367095947	0	0	0	0
EAS	9	44	455	5	2.64938139915466	0	0	0	0
EAS	9	45	3027	5	13.0549573898315	0	0	0	0
EAS	9	50	4052	5	28.2612280845642	0	0	0	0
EAS	9	53	3445	5	12.9339914321899	0	0	0	0
EAS	9	54	1365	5	5.86646890640259	0	0	0	0
EAS	9	56	2749	5	13.6002712249756	0	0	0	0
EAS	9	68	264	5	2.02601170539856	0	0	0	0
EAS	9	78	700	5	2.92354226112366	0	0	0	0
EAS	9	80	4201	5	35.6337659358978	0	0	0	0
EAS	9	81	276	5	2.24760556221008	0	0	0	0
EAS	9	83	1572	5	3.95849657058716	0	0	0	0
EAS	9	99	2046	5	3.69320368766785	0	0	0	0
EAS	9	103	703	5	2.69218397140503	0	0	0	0
EAS	9	115	3120	5	11.1058068275452	0	0	0	0
EAS	9	119	2004	5	5.42491126060486	0	0	0	0
EAS	9	140	4383	5	25.7085597515106	0	0	0	0
EAS	9	146	576	5	2.0024139881134	0	0	0	0
EAS	9	158	125	5	2.24112701416016	0	0	0	0
EAS	10	1	1850	5	5.6804940700531	0	0	0	0
EAS	10	4	3549	5	17.4483425617218	0	0	0	0
EAS	10	8	852	5	2.45546627044678	0	0	0	0
EAS	10	9	243	5	4.56925797462463	0	0	0	0
EAS	10	24	861	5	2.28665280342102	0	0	0	0
EAS	10	28	1072	5	2.66193175315857	0	0	0	0
EAS	10	45	2700	5	10.9843761920929	0	0	0	0
EAS	10	48	1904	5	5.29770708084106	0	0	0	0
EAS	10	49	1851	5	3.75168752670288	0	0	0	0
EAS	10	60	3545	5	20.6901152133942	0	0	0	0
EAS	10	61	993	5	3.00666761398315	0	0	0	0
EAS	10	73	1783	5	4.62601280212402	0	0	0	0
EAS	10	80	2680	5	6.37172603607178	0	0	0	0
EAS	10	81	2981	5	9.58280897140503	0	0	0	0
EAS	10	82	3749	5	11.5210018157959	0	0	0	0
EAS	10	90	121	5	1.75455021858215	0	0	0	0
EAS	10	96	1532	5	6.07356953620911	0	0	0	0
EAS	10	109	2216	5	8.1645359992981	0	0	0	0
EAS	10	113	2195	5	7.54428124427795	0	0	0	0
EAS	10	114	1582	5	4.17373108863831	0	0	0	0
EAS	10	129	3579	5	21.5498526096344	0	0	1	12
EAS	10	131	2735	5	8.40336942672729	0	0	0	0
EAS	10	153	1917	5	7.07094264030457	0	0	0	0
EAS	10	154	3926	5	17.0407350063324	0	0	0	0
EAS	10	162	1370	5	5.01263165473938	0	0	0	0
