chromosome	block	num_variants	num_variants.EUR	num_variants.AFR	num_variants.EAS	nlog10minP.EUR	nlog10minP.AFR	nlog10minP.EAS
2	214	2588	1430	2295	908	8.078	4.369	2.999
2	217	3957	1519	3415	879	23.14	3.72	4.484
2	218	3062	1240	2652	734	10.44	3.053	1.743
2	230	4128	1903	3553	1119	80.26	3.125	3.633
2	231	2175	889	1985	549	7.171	3.624	2.501
2	235	2486	1414	2158	757	11.92	4.077	2.491
2	237	5581	2714	4875	1448	5.991	3.736	2.906
2	240	5096	2606	4352	1471	3.855	2.856	2.701
2	242	4659	2220	4042	1608	8.344	3.378	3.265
2	250	10245	5007	9119	3431	4.301	3.583	3.398
2	251	3528	1918	3114	894	5.142	4.599	1.985
2	256	6451	2602	5444	1583	9.205	4.306	1.77
3	1	21922	10859	19642	6691	4.274	3.538	3.467
3	8	1583	964	1375	478	8.786	3.222	2.441
3	9	1675	901	1479	543	6.266	3.17	2.325
3	20	6620	3239	5669	1853	6.401	3.406	3.337
3	23	4395	2000	3909	1185	4.343	3.798	3.75
3	24	7104	3325	6100	2011	20.33	3.756	3.17
3	30	6996	3288	5924	1895	7.816	2.625	2.491
3	31	3214	1648	2859	1071	4.305	4.459	3.025
3	33	1645	895	1362	563	5.441	2.998	5.175
3	35	6810	3388	6072	2312	4.553	3.342	3.24
3	39	9047	4344	8012	3330	6	4.137	3.963
3	40	4535	2079	3941	1470	3.8	3.919	3.008
3	41	8399	4293	7579	2429	15.44	4.463	3.564
3	49	8469	4318	7485	3126	6.508	4.272	3.413
3	55	3719	1657	3230	843	9.229	3.136	1.494
3	57	4266	1983	3717	1232	4.372	3.463	2.506
3	60	12199	5518	10367	2743	4.735	4.1	2.503
3	62	4138	1922	3610	1236	5.137	3.145	2.949
3	65	2961	1376	2622	868	4.257	4.125	2.312
3	70	6455	2946	5832	2150	6.316	2.867	2.655
3	71	8501	3634	7594	1877	4.043	3.143	2.112
3	77	12631	6277	11212	3555	6.222	4.539	3.986
3	83	9435	4802	8340	3298	4.787	2.883	2.133
3	85	4499	2014	4081	1564	7.215	2.651	3.496
3	88	5822	2964	5064	2047	8.581	3.645	3.416
3	89	6606	3062	5793	1645	4.953	4.074	4.303
3	114	4548	2289	3908	1105	4.292	3.749	3.265
3	115	5755	2769	5112	1722	6.645	3.846	3.156
3	120	6148	2796	5353	1615	3.834	3.171	2.917
3	121	7520	3463	6384	1917	3.89	3.794	2.485
3	124	1370	547	1208	298	7.445	2.93	1.937
3	132	10343	4205	9006	2587	6.306	3.062	3.088
3	133	4811	1998	4120	1524	4.002	3.98	2.579
3	136	3226	1686	2849	926	3.752	3.874	2.097
3	140	8044	3733	6784	1961	32.78	3.675	2.55
3	145	7779	3409	6683	2316	13.11	4.411	2.939
3	150	6487	3370	5523	1599	4.397	4.356	2.748
3	155	6235	3062	5449	1767	28.42	4.614	2.09
3	161	9028	4110	7933	2548	5.246	3.415	2.549
3	162	11059	4576	9762	3192	15.25	3.725	3.124
3	172	4932	2213	4342	1347	19.26	3.226	2.719
3	173	2880	1410	2586	728	6.633	2.648	2.245
3	174	1598	886	1398	398	3.573	2.975	1.997
3	175	1963	1093	1754	600	19.8	2.665	2.315
3	186	8548	4052	7402	2335	6.449	4.481	3.76
3	191	4910	2148	4249	1401	4.177	3.521	3.225
3	193	7604	3397	6729	2086	5.853	3.699	2.352
3	196	1369	784	1224	261	6.814	3.059	1.931
3	214	8702	3900	7467	2108	8.005	4.004	2.14
4	1	20910	9611	18153	4516	63.23	3.602	2.996
4	4	4966	2479	4397	1604	13.04	3.263	2.362
4	19	3089	1634	2777	645	3.574	5.549	1.668
4	21	11377	5116	9992	3556	4.259	3.716	2.359
4	28	5838	2760	5087	1873	9.05	4.448	2.192
4	32	8160	3706	7184	2310	18.3	3.213	3.844
4	42	1012	522	891	323	23.1	1.942	2.351
4	43	3491	1712	3015	851	6.064	2.931	3.684
4	48	6533	3101	5670	2013	5.433	2.98	2.895
4	54	14915	7097	13467	4982	6.427	3.659	3.361
4	55	6122	2591	5398	1857	9.039	3.502	2.559
4	64	10729	4838	8963	3064	6.537	3.793	3.887
4	66	5526	2430	4810	1472	8.627	3.749	2.938
4	74	6692	3052	5808	2261	5.505	4.388	2.191
4	80	8034	3407	6791	2129	9.605	3.288	2.881
4	82	3391	1265	3010	797	9.323	3.572	2.238
4	84	7432	2895	6612	1785	7.441	4.688	2.664
4	87	10371	4476	9109	2896	11.91	3.421	2.749
4	90	7081	2907	6224	1656	5.088	3.394	2.399
4	95	2578	1164	2321	795	3.584	2.649	2.189
4	97	4178	1730	3759	1060	3.617	3.375	3.039
4	101	8605	3592	7513	2078	70.11	3.308	2.649
4	102	4570	2087	4119	1374	7.844	4.147	2.801
4	103	3449	1547	3091	1099	15.93	5.734	1.903
4	109	3329	1453	3006	889	5.815	2.724	4.183
4	112	10753	4879	9121	2783	4.734	4.223	3.394
4	113	8220	3917	7036	1919	17	4.735	2.169
4	114	7530	3535	6484	2139	4.28	2.656	2.546
4	115	3420	1507	2990	992	16.97	3.21	1.817
4	116	6534	2670	5686	1363	5.288	3.474	2.28
4	117	7510	3436	6407	1912	4.343	3.591	2.027
4	121	6047	2432	5305	1719	28.28	4.943	3.095
4	122	2279	1057	2040	807	7.539	3.195	2.178
4	133	7462	3262	6558	1710	5.584	4.082	2.305
4	134	11576	5243	10256	3496	7.035	4.303	3.757
4	136	10841	4782	9167	3074	5.77	4.148	3.552
4	139	12170	5252	10646	3664	4.668	3.731	3.83
4	147	2811	1413	2526	857	3.549	3.563	2.106
4	148	4759	1994	4297	1306	4.951	4.264	2.745
4	149	6265	2832	5522	1898	5.068	5.361	2.471
4	150	7737	2944	6740	1949	4.335	3.5	2.22
4	153	7355	3190	6349	2095	5.628	3.348	3.738
4	154	3126	1248	2721	898	4.395	3.705	2.377
4	156	10578	4554	9110	2926	4.199	5.293	2.267
4	159	2797	1297	2540	793	7.632	3.222	2.754
4	161	2741	1242	2369	618	14.56	2.502	3.101
4	162	4781	2258	4203	1463	6.938	3.693	2.205
4	165	5207	2403	4494	1470	10.82	3.281	3.31
4	180	8150	3178	7377	2055	4.049	4.473	2.848
4	184	3268	1574	2946	1068	3.921	3.182	2.382
4	199	1275	688	1145	385	3.782	2.798	1.778
5	27	12040	5265	10594	3600	3.223	4.696	3.571
5	33	3890	1833	3440	1072	3.017	3.963	2.813
5	49	1550	874	1408	572	3.814	2.677	1.372
5	64	8135	3935	6965	2480	18.2	4.767	3.103
5	66	6214	2566	5481	1428	5.444	3.457	2.186
5	68	1857	961	1660	496	60.93	3.228	2.051
5	69	2713	1350	2395	876	76.62	2.901	2.507
5	71	8906	4163	7788	2865	11.43	3.971	2.801
5	72	10334	4533	8965	2762	6.195	4.371	2.694
5	74	13118	6052	11158	3392	4.821	4.004	1.956
5	78	2182	1140	1898	532	17.83	3.842	1.667
5	81	5087	2404	4435	1419	6.811	4.52	2.324
5	85	7449	3348	6550	2503	6.152	3.006	2.709
5	88	2743	1439	2446	846	7.493	3.039	2.317
5	92	4706	2098	4093	1474	11.41	4.298	2.343
5	96	7101	3344	6244	1847	6.706	3.071	2.988
5	97	4461	2010	3921	1529	12.96	3.005	3.347
5	102	9602	4502	8105	2227	5.455	3.667	3.31
5	103	6678	2797	5856	1600	11.08	3.436	3.94
5	108	3135	1354	2748	822	4.906	2.9	2.262
5	109	3747	1728	3343	1120	6.84	3.794	2.524
5	111	9505	3868	8441	2582	5.117	4.026	3.097
