chromosome	block	num_variants	num_variants.EUR	num_variants.AFR	num_variants.EAS	nlog10minP.EUR	nlog10minP.AFR	nlog10minP.EAS
4	156	10691	4695	9220	2725	6.14	4.288	4.297
4	159	2803	1321	2548	791	10.52	5.876	1.506
4	161	2779	1291	2408	657	12.6	2.409	1.796
4	162	4870	2349	4284	1381	5.818	3.627	2.223
4	203	3333	1767	2982	896	3.499	3.436	2.273
5	6	2293	1240	2066	800	3.35	3.151	2.479
5	28	2223	1059	2027	726	3.191	3.415	2.264
5	43	7361	3213	6516	1561	2.989	3.891	2.49
5	56	9579	4099	8459	2737	4.882	4.301	3.47
5	57	6542	3058	5620	1653	4.345	3.222	2.834
5	64	8242	4035	7054	2280	5.285	3.136	2.863
5	68	1897	999	1697	510	3.005	2.415	2.344
5	69	2757	1396	2437	793	5.5	4.632	2.907
5	71	9085	4350	7951	2688	3.829	3.872	3.608
5	74	13280	6239	11296	3258	5.144	3.838	2.039
5	81	5155	2482	4509	1314	11.32	3.02	2.389
5	84	984	501	878	344	6.827	2.866	2.803
5	85	7556	3484	6654	2343	195.2	4.63	4.817
5	92	4764	2164	4151	1357	3.498	3.767	2.511
5	109	3818	1789	3394	1067	3.269	4.428	2.037
5	130	8955	4251	7829	2600	20.91	3.493	1.851
5	134	4746	2290	4194	1610	4.18	3.233	2.65
5	136	8626	4023	7468	2417	5.813	3.396	3.137
5	146	9023	4217	7721	1922	5.589	3.805	2.919
5	147	3469	1791	3144	1086	5.084	3.98	2.965
5	154	5499	2457	4822	1348	3.747	3.354	3.393
5	156	5304	2217	4705	1504	7.367	3.609	2.601
5	158	4537	2029	4033	1266	4.018	3.137	1.919
5	165	3660	1962	3126	1095	4.547	3.527	2.398
5	166	6927	3367	6157	1772	79.28	5.291	2.504
5	167	5651	2526	5057	1311	5.225	3.151	1.799
5	168	6651	3148	5790	1678	5.003	2.829	4.015
5	191	8912	4411	8031	2336	6.048	3.874	2.625
5	202	4532	1907	3846	753	4.113	4.521	2.483
5	207	5728	2660	4954	1325	5.663	2.934	3.018
5	210	730	311	668	199	4.413	2.201	1.755
5	211	1282	609	1167	468	3.287	3.812	2.072
6	1	6540	3328	5963	1715	4.091	3.257	2.184
6	19	5290	2662	4719	1548	4.998	3.702	2.585
6	20	3507	1724	3115	1036	4.709	5.216	2.073
6	25	5254	2514	4643	1151	5.279	3.073	2.517
6	27	3327	1597	2986	1016	7.585	4.033	2.224
6	30	813	352	740	200	2.713	4.326	1.788
6	34	6188	3051	5435	1626	4.341	4.525	4.87
6	35	2278	1220	1980	529	24.08	3.353	2.354
6	39	9729	4680	8669	2672	4.667	3.365	2.132
6	43	6198	3015	5471	1621	7.306	3.718	3.534
6	44	1103	544	1001	291	5.828	3.189	1.163
6	47	7801	3880	6929	2299	5.242	3.505	2.979
6	51	12595	5822	11018	3561	29.92	3.321	3.181
6	52	4016	1850	3626	1111	4.292	4.058	3.024
6	53	3768	1679	3339	908	14.29	3.254	2.639
6	56	3639	1820	3222	908	7.93	3.593	3.088
6	58	6198	3197	5441	1550	3.372	3.143	2.737
6	63	6132	2730	5267	1506	4.57	5.856	2.844
6	64	648	297	590	147	3.073	2.568	1.467
6	65	1677	874	1531	441	4.228	3.107	4.155
6	69	5856	2796	5094	1194	5.613	4.025	3.257
6	72	2383	1192	2149	724	5.165	4.882	2.147
6	73	925	463	823	274	5.109	3.378	1.912
6	75	883	440	777	265	7.097	4.703	1.244
6	76	11787	5121	10410	3553	6.074	3.221	2.46
6	85	14632	6264	12679	3985	6.501	3.773	2.39
6	87	10377	4331	8926	2623	4.102	4.81	2.487
6	88	19106	8604	16223	4916	5.933	3.721	2.981
6	94	9266	4323	7971	2730	4.033	4.441	3.264
6	99	7920	3778	6872	2079	5.045	4.841	2.406
6	100	93	68	76	35	9.001	2.014	0.9458
6	101	6490	3123	5475	1934	6.904	4.142	4.303
6	105	5768	2927	5131	1809	4.362	3.226	2.298
6	109	5534	2464	4903	1642	5.586	5.291	2.265
6	115	14383	6447	12341	3724	26.28	3.226	2.143
6	116	8346	4011	7191	2325	6.198	4.143	2.965
6	117	12106	5509	10465	3990	3.988	4.163	2.569
6	124	9618	4362	8293	1803	14.15	3.104	1.83
6	127	4629	2225	4185	1090	8.911	3.45	2.969
6	128	6663	3035	5932	1826	4.626	3.72	2.874
6	130	7784	3746	6764	2337	4.913	3.396	2.318
6	134	4644	2096	4122	1175	11.91	4.069	3.563
6	135	3235	1399	2825	597	2.869	4.106	2.592
6	137	2688	1270	2348	725	3.645	3.123	2.503
6	138	3712	2007	3245	974	3.092	3.339	2.229
6	140	3953	1922	3548	1238	5.23	3.198	2.338
6	146	3186	1500	2770	905	6.116	3.529	1.679
6	148	2701	1158	2369	714	4.042	4.712	2.822
6	154	4363	2133	3943	1449	6.042	3.918	2.129
6	158	5225	2436	4581	1549	5.373	3.262	3.28
6	160	6413	3090	5706	1890	4.569	3.676	2.535
6	168	7933	3843	6933	1966	5.47	3.306	3.193
6	169	13148	6162	11668	3248	85.74	4.156	3.253
6	183	3600	1546	3305	773	4.077	2.562	2.237
7	3	5305	2280	4591	961	11.8	3.976	2.741
7	5	8592	3895	7298	1770	4.863	3.303	2.351
7	6	4353	2125	3827	763	5.595	2.998	1.596
7	11	5700	2699	4978	947	5.124	2.916	2.671
7	12	10007	4792	8736	2223	15.24	3.283	2.818
7	28	2182	986	2017	586	4.394	2.191	3.157
7	33	8367	4062	7297	2309	8.154	3.591	2.836
7	37	6645	3549	5826	2370	27.28	3.439	5.334
7	40	9815	4771	8568	3095	4.002	3.3	2.615
7	41	6127	3103	5472	1689	3.325	3.083	2.445
7	42	6263	3183	5444	1921	12.36	3.145	2.7
7	44	1265	586	1141	328	7.436	2.849	2.351
7	50	4371	2149	3911	1019	5.171	3.745	2.952
7	51	4256	2166	3855	1243	3.085	4.307	2.472
7	58	6218	3211	5455	1578	8.212	3.572	2.983
7	66	2771	1453	2351	685	4.222	3.638	2.636
7	67	16585	7870	14283	4250	35.89	3.705	2.392
7	73	2363	1099	2027	635	4.489	2.283	1.642
