pheno	chromosome	block	num_variants_0.9.UKBB.EUR	num_variants_0.9.UKBB_0.1.GLGC.EUR	num_variants_0.9.UKBB.AFR	num_variants_0.9.UKBB_0.1.GLGC.AFR	num_variants_0.9.UKBB.EAS	num_variants_0.9.UKBB_0.1.GLGC.EAS
TC	6	94	0	0	0	0	0	0
TC	6	99	0	0	0	0	0	0
TC	6	100	0	0	0	0	0	0
TC	6	101	0	0	0	0	0	0
TC	6	105	0	0	0	0	0	0
TC	6	109	0	0	0	0	0	0
TC	6	115	0	0	0	0	0	0
TC	6	116	0	0	0	0	0	0
TC	6	117	0	0	0	0	0	0
TC	6	124	0	0	0	0	0	0
TC	6	127	0	0	0	0	0	0
TC	6	128	0	0	0	0	0	0
TC	6	130	0	0	0	0	0	0
TC	6	134	0	0	0	0	0	0
TC	6	135	0	0	0	0	0	0
TC	6	137	0	0	0	0	0	0
TC	6	138	0	0	0	0	0	0
TC	6	140	0	0	0	0	0	0
TC	6	146	0	0	0	0	0	0
TC	6	148	0	0	0	0	0	0
TC	6	154	0	0	0	0	0	0
TC	6	158	0	0	0	0	0	0
TC	6	160	0	0	0	0	0	0
TC	6	168	0	0	0	0	0	0
TC	6	169	1	0	0	0	0	0
TC	6	183	0	0	0	0	0	0
TC	7	3	0	0	0	0	0	0
TC	7	5	0	0	0	0	0	0
TC	7	6	0	0	0	0	0	0
TC	7	11	0	0	0	0	0	0
TC	7	12	0	0	0	0	0	0
TC	7	28	0	0	0	0	0	0
TC	7	33	0	0	0	0	0	0
TC	7	37	0	0	0	0	0	0
TC	7	40	0	0	0	0	0	0
TC	7	41	0	0	0	0	0	0
TC	7	42	0	0	0	0	0	0
TC	7	44	0	0	0	0	0	0
TC	7	50	0	0	0	0	0	0
TC	7	51	0	0	0	0	0	0
TC	7	58	0	0	0	0	0	0
TC	7	66	0	0	0	0	0	0
TC	7	67	0	0	0	0	0	0
TC	7	73	0	0	0	0	0	0
TC	7	85	0	0	0	0	0	0
TC	7	87	0	0	0	0	0	0
TC	7	88	0	0	0	0	0	0
TC	7	89	0	0	0	0	0	0
TC	7	95	0	0	0	0	0	0
TC	7	99	0	0	0	0	0	0
TC	7	103	0	0	0	0	0	0
TC	7	107	0	0	0	0	0	0
TC	7	109	0	0	0	0	0	0
TC	7	111	0	0	0	0	0	0
TC	7	112	0	0	0	0	0	0
TC	7	113	0	0	0	0	0	0
TC	7	119	0	0	0	0	0	0
TC	7	125	0	0	0	0	0	0
TC	7	127	0	0	0	0	0	0
TC	7	131	0	0	0	0	0	0
TC	7	132	0	0	0	0	0	0
TC	7	133	0	0	0	0	0	0
TC	7	134	0	0	0	0	0	0
TC	7	138	0	0	0	0	0	0
TC	7	139	0	0	0	0	0	0
TC	7	140	0	0	0	0	0	0
TC	7	141	0	0	0	0	0	0
TC	7	142	0	0	0	0	0	0
TC	7	147	0	0	0	0	0	0
TC	7	152	0	0	0	0	0	0
TC	7	159	0	0	0	0	0	0
TC	7	162	0	0	0	0	0	0
TC	7	176	0	0	0	0	0	0
TC	7	177	0	0	0	0	0	0
TC	7	187	0	0	0	0	0	0
TC	8	17	0	0	0	0	0	0
TC	8	29	0	0	0	0	0	0
TC	8	32	0	0	0	0	0	0
TC	8	36	0	0	0	0	0	0
TC	8	39	0	0	0	0	0	0
TC	8	41	0	0	0	0	0	0
TC	8	42	0	0	0	0	0	0
TC	8	43	0	0	0	0	0	0
TC	8	44	0	0	0	0	0	0
TC	8	45	0	0	0	0	0	0
TC	8	57	0	0	0	0	0	0
TC	8	59	0	0	0	0	0	0
TC	8	65	0	0	0	0	0	0
TC	8	68	0	0	0	0	0	0
TC	8	69	0	0	0	0	0	0
TC	8	78	0	0	0	0	0	0
TC	8	81	0	0	0	0	0	0
TC	8	83	0	0	0	0	0	0
TC	8	84	0	0	0	0	0	0
TC	8	85	0	0	0	0	0	0
TC	8	88	0	0	0	0	0	0
TC	8	106	0	0	0	0	0	0
TC	8	109	0	0	0	0	0	0
TC	8	110	0	0	0	0	0	0
TC	8	113	0	0	0	0	0	0
TC	8	118	0	0	0	0	0	0
TC	8	121	0	0	0	0	0	0
TC	8	124	0	0	0	0	0	0
TC	8	125	0	0	0	0	0	0
TC	8	126	0	0	0	0	0	0
TC	8	135	0	0	0	0	0	0
TC	8	153	0	0	0	0	0	0
TC	8	159	0	0	0	0	0	0
TC	8	160	0	0	0	0	0	0
TC	9	4	0	0	0	0	0	0
TC	9	5	0	0	0	0	0	0
TC	9	9	0	0	0	0	0	0
TC	9	12	0	0	0	0	0	0
TC	9	13	0	0	0	0	0	0
TC	9	31	0	0	0	0	0	0
TC	9	33	0	0	0	0	0	0
TC	9	36	0	0	0	0	0	0
TC	9	39	0	0	0	0	0	0
TC	9	40	0	0	0	0	0	0
TC	9	51	0	0	0	0	0	0
TC	9	53	0	0	0	0	0	0
TC	9	69	0	0	0	0	0	0
