pid	chromosome	block	num_variants	max_PSRF	mcmc_n	time	lambda	h2_est	h2_mean	h2_sd	h2_beta_mean	h2_beta_sd	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
EAS	1	127	1723	1.0029221466086484	5500	243.646375417709	0.08687599016883807	9.663598525218183e-5	9.718358665740177e-5	3.3845702047351106e-5	9.779963134610386e-5	7.157790414669563e-5	0	0	0	0
EAS	1	128	3033	1.0025232834211848	5500	740.311877727509	1.005631520904605	4.182428854505889e-4	4.2255009139485116e-4	1.0632437545229894e-4	4.4988305390138546e-4	2.2462104174689098e-4	0	0	0	0
EAS	1	129	838	1.0020652371762915	5500	71.3616271018982	0.0017653970327183733	2.615921431030084e-5	2.5800937486729892e-5	1.256786424392269e-5	2.1926906312702878e-5	2.212932380899658e-5	0	0	0	0
EAS	1	141	1174	1.0031422053693617	5500	129.09409570694	1.097392563634291	4.178700276580539e-4	4.425751443506111e-4	1.6608465825467374e-4	4.3352758627314484e-4	2.2831589628737498e-4	0	0	0	0
EAS	1	147	1590	1.0026195684926262	5500	240.182314872742	0.41804680843219866	7.815306991233564e-5	7.685408923012853e-5	2.6792151416513222e-5	6.598386747158353e-5	5.100704671611937e-5	0	0	0	0
EAS	1	154	3001	1.0028750119559984	5500	795.71487569809	0.0019486181011913494	4.1878909317764326e-4	4.224507665653667e-4	1.0612115875972564e-4	4.2619712710192736e-4	1.9686322495359455e-4	0	0	0	0
EAS	1	156	1629	1.0071337884592482	5500	293.43154835701	0.7384385771431876	8.534102209901536e-4	8.730767537577804e-4	2.7863210179059316e-4	8.088309752039443e-4	3.19447101560911e-4	0	0	0	0
EAS	1	158	1230	1.0026054091047851	5500	138.380040884018	0.47010601361571047	9.158184257683957e-5	9.40970728020398e-5	3.698059546887827e-5	9.513492939135417e-5	8.49589820384279e-5	0	0	0	0
EAS	1	166	845	1.002062633311597	5500	57.9926238059998	0.002004356782050145	3.983480556181589e-5	3.989788551569897e-5	1.9244325019080637e-5	3.400931332816031e-5	3.331516266005657e-5	0	0	0	0
EAS	1	170	2067	1.00311662639741	5500	390.733950138092	0.038195383216569345	2.3343951688773804e-5	2.3338812973405964e-5	7.246684328531396e-6	2.222244114101247e-5	1.67002336334383e-5	0	0	0	0
EAS	1	175	3040	1.0028516096470799	5500	620.853718042374	0.0026437545783571884	6.94550380718333e-5	6.824497212455782e-5	1.7501144410226965e-5	6.0666755404456454e-5	3.4968253087086723e-05	0	0	0	0
EAS	1	183	3491	1.0034489029897578	5500	1676.58372926712	0.5120601073200037	4.5149694770152805e-4	4.537166990341762e-4	1.0415015723575104e-4	4.6284187839079e-4	2.019494875525621e-4	0	0	0	0
EAS	1	185	958	1.0024294591468563	5500	105.402383089066	0.001099584573748223	6.143154702218848e-5	6.066446427785068e-5	2.7526105213034388e-5	5.3709143798967434e-5	5.089050762153117e-5	0	0	0	0
EAS	1	186	1833	1.0024190277004252	5500	219.979622602463	0.0020213540417259863	6.786139287348065e-5	6.659528265513737e-5	2.1804114173007233e-5	5.930388175024607e-5	4.3343473496668653e-5	0	0	0	0
