pid	chromosome	block	num_variants	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
asian	2	66	3469	4.47128200531006	0	0	0	0
asian	2	79	1521	1.05883574485779	0	0	0	0
asian	2	81	4075	6.37468409538269	0	0	0	0
asian	2	84	5420	5.14685606956482	0	0	0	0
asian	2	85	6065	18.016450881958	0	0	1	78
asian	2	87	752	0.130308389663696	0	0	1	44
asian	2	88	5803	11.2859508991241	0	0	0	0
asian	2	100	942	0.306796550750732	0	0	0	0
asian	2	101	1105	0.27735161781311	0	0	0	0
asian	2	105	2888	1.27080321311951	0	0	0	0
asian	2	107	4146	5.3488142490387	0	0	0	0
asian	2	108	2975	3.06034231185913	0	0	0	0
asian	2	112	4021	3.15523290634155	0	0	0	0
asian	2	116	2225	2.74108386039734	0	0	0	0
asian	2	145	1274	0.230890274047852	0	0	0	0
asian	2	146	3839	8.5510048866272	0	0	0	0
asian	2	147	5828	4.97712397575378	0	0	0	0
asian	2	152	1567	0.614095449447632	0	0	0	0
asian	2	153	2405	4.84670853614807	0	0	0	0
asian	2	154	1410	0.606760025024414	0	0	0	0
asian	2	161	3077	2.752681016922	0	0	0	0
asian	2	166	5611	21.0454297065735	0	0	0	0
asian	2	171	3004	4.11130809783936	0	0	0	0
asian	2	176	3181	3.34009838104248	0	0	0	0
asian	2	180	1429	0.593030452728271	0	0	0	0
asian	2	186	3370	4.90403485298157	0	0	0	0
asian	2	190	7138	32.9412558078766	0	0	0	0
asian	2	195	6068	16.2266476154327	0	0	0	0
asian	2	196	3000	7.38066625595093	0	0	0	0
asian	2	197	2731	4.99744534492493	0	0	1	29
asian	2	204	1818	1.15155816078186	0	0	0	0
asian	2	205	1240	0.795652389526367	0	0	0	0
asian	2	210	1267	0.374442100524902	0	0	0	0
asian	2	211	2080	0.711737394332886	0	0	0	0
asian	2	213	4096	7.16841387748718	0	0	0	0
asian	2	228	1738	0.447494268417358	0	0	0	0
asian	2	232	1407	0.241034030914307	0	0	0	0
asian	2	234	2026	2.11963987350464	0	0	0	0
asian	2	241	1206	0.201593637466431	0	0	0	0
asian	2	247	730	0.373367071151733	0	0	0	0
asian	3	1	6647	5.42619156837463	0	0	0	0
asian	3	22	1123	0.193016052246094	0	0	0	0
asian	3	32	3102	1.83192658424377	0	0	0	0
asian	3	35	2795	1.86280655860901	0	0	0	0
asian	3	37	770	0.23479700088501	0	0	0	0
asian	3	38	1733	1.65428709983826	0	0	0	0
asian	3	39	4010	5.96632504463196	0	0	1	100
asian	3	40	1372	0.336143493652344	0	0	0	0
asian	3	41	2903	1.6430242061615	0	0	0	0
asian	3	42	2343	3.51678967475891	0	0	0	0
asian	3	45	1275	0.297969341278076	0	0	0	0
asian	3	48	2457	0.905423641204834	0	0	0	0
asian	3	49	3859	17.3066170215607	0	0	0	0
asian	3	53	3527	4.69086623191833	0	0	0	0
asian	3	55	1038	0.155956983566284	0	0	0	0
asian	3	56	1522	0.621987342834473	0	0	0	0
asian	3	60	3315	4.99970626831055	0	0	0	0
asian	3	61	1604	2.1894223690033	0	0	0	0
asian	3	63	6410	22.0103800296783	0	0	0	0
asian	3	74	1427	1.30622792243958	0	0	0	0
asian	3	81	1429	0.461124897003174	0	0	0	0
asian	3	88	2587	1.24209642410278	0	0	0	0
asian	3	89	1553	0.743937015533447	0	0	0	0
asian	3	96	1979	2.22408246994019	0	0	0	0
asian	3	99	5403	14.6781899929047	0	0	0	0
asian	3	101	9875	24.8537602424622	0	0	0	0
asian	3	108	1584	0.432627201080322	0	0	0	0
asian	3	109	5267	25.9749073982239	0	0	0	0
asian	3	119	4321	4.54586505889893	0	0	0	0
asian	3	120	1912	0.642865896224976	0	0	0	0
asian	3	131	845	0.140724897384644	0	0	0	0
asian	3	140	2835	1.8311939239502	0	0	1	98
asian	3	165	3344	3.63994908332825	0	0	0	0
asian	3	166	8130	26.6254281997681	0	0	1	156
asian	3	182	875	0.175938606262207	0	0	0	0
asian	3	185	940	0.350860595703125	0	0	0	0
asian	3	187	2292	1.37134337425232	0	0	1	110
asian	3	193	2530	0.972457885742188	0	0	0	0
asian	3	195	4404	5.30044221878052	0	0	0	0
asian	3	204	3270	2.18141412734985	0	0	0	0
asian	3	216	1153	0.504574537277222	0	0	0	0
asian	4	1	6279	10.6260089874268	0	0	0	0
