pheno	db	chromosome	block	num_variants	max_PSRF	max_beta	max_betamean	mcmc_n	time	h2_beta_mean.EUR	h2_beta_sd.EUR	num_variants_0.95.EUR	num_variants_0.5.EUR	num_CS95.EUR	num_variants_CS95.EUR	h2_beta_mean.AFR	h2_beta_sd.AFR	num_variants_0.95.AFR	num_variants_0.5.AFR	num_CS95.AFR	num_variants_CS95.AFR	h2_beta_mean.EAS	h2_beta_sd.EAS	num_variants_0.95.EAS	num_variants_0.5.EAS	num_CS95.EAS	num_variants_CS95.EAS
LDL	META	1	52	7683	1.0679169027765023	0.023716327642495233	0.010129858005861905	5500	3188.38017892838	0.00043347462794572405	4.5360080995049175e-5	0	1	4	164	6.160081980839988e-4	1.6037634873799985e-4	0	1	0	0	2.4013636445418458e-4	1.0780617623523718e-4	0	0	0	0
LDL	META	1	53	6796	1.0497756296213079	0.02164100415610748	0.0018453174678782676	5500	2442.69897294044	9.860506736284636e-5	2.0028333088793088e-5	0	0	0	0	3.5573209063383246e-4	1.2181447866193002e-4	0	0	0	0	1.0491715511519636e-4	6.387255223621374e-5	0	0	0	0
LDL	META	1	58	7990	1.175153827804167	0.021907738407781277	0.0033415985855096285	5500	3395.26308894157	1.042693453352171e-4	2.057396883425724e-5	0	1	1	2	4.164599612149137e-4	1.2179291513471286e-4	0	0	0	0	1.495202817820526e-4	7.936519808725348e-5	0	0	0	0
LDL	META	1	70	5202	1.030987351692132	0.021648993962730456	9.083015197857773e-4	5500	1563.91598963737	5.868217878159369e-5	1.5217699165160614e-5	0	0	1	22	2.0698779115655807e-4	8.074475249674054e-5	0	0	0	0	9.270262926675384e-5	5.3131945166062634e-5	0	0	0	0
LDL	META	1	73	7320	1.0730391946050475	0.025923414067219222	0.002456177958742565	5500	3072.36091327667	8.78490761479789e-5	2.0532518628530973e-5	0	0	1	41	5.015455597481828e-4	1.4211070163150174e-4	0	0	0	0	2.175939231646382e-4	1.0211485158850443e-4	0	0	0	0
LDL	META	1	75	9247	1.0346174418959302	0.027447845087786103	0.005107309867377835	5500	4757.34735846519	1.9262324830617386e-4	2.922496535145777e-5	0	2	2	12	6.211148064491376e-4	1.5348263717331585e-4	0	0	0	0	4.192784012275533e-4	1.4691790465518815e-4	0	0	0	0
LDL	META	1	76	4568	1.0474744704584122	0.026759694434489317	0.005390468893249182	5500	1158.41290998459	7.027378741439453e-5	1.799010495246348e-5	0	0	0	0	6.227304099205909e-4	1.7447351121559963e-4	0	1	0	0	1.971085261726969e-4	1.0856898644333586e-4	0	0	0	0
LDL	META	1	78	2805	1.0275376622570582	0.024092179440083714	0.0011917379866472446	5500	491.764520645142	4.4467714149300744e-5	1.3748546969418225e-5	0	0	1	5	3.3148536174537266e-4	1.2236771580192323e-4	0	0	0	0	1.3288942261798138e-4	7.831775515069298e-5	0	0	0	0
LDL	META	1	80	2654	1.0281427102468101	0.03008692251156301	0.00534630213133483	5500	469.353085041046	2.8146073345613272e-5	1.1113012038337473e-5	0	0	0	0	5.17946413625754e-4	1.6056343216268524e-4	0	0	1	9	1.3474759933828685e-4	8.63372029256513e-5	0	0	0	0
LDL	META	1	81	1905	1.0381654137410343	0.038912443173268696	0.003834894208762184	5500	272.952944993973	4.624723477891793e-5	1.527898177051868e-5	0	1	0	0	5.631033556699073e-4	1.7285892135606473e-4	0	0	0	0	1.031548209721343e-4	7.612643779723165e-5	0	0	0	0
